45931000;Троицк
45932000;Щербинка
45377000;Савелки
45953000;Мосрентген
45941000;Внуковское
45943000;Вороновское
45942000;Воскресенское
45944000;Десеновское
45945000;Киевский
45946000;Кленовское
45947000;Кокошкино
45948000;Краснопахорское
45949000;Марушкинское
45951000;Михайлово-Ярцевское
45952000;Московский
45954000;Новофедоровское
45955000;Первомайское
45956000;Роговское
45957000;Рязановское
45958000;Сосенское
45959000;Филимонковское
45961000;Щаповское
45397000;Академический
45349000;Алексеевский
45350000;Алтуфьевский
45374000;Арбат
45333000;Аэропорт
45351000;Бабушкинский
45375000;Басманный
45334000;Беговой
45335000;Бескудниковский
45352000;Бибирево
45911000;Бирюлево Восточное
45912000;Бирюлево Западное
45301000;Богородское
45913000;Братеево
45353000;Бутырский
45302000;Вешняки
45317000;Внуково
45336000;Войковский
45337000;Восточное Дегунино
45303000;Восточное Измайлово
45304000;Восточный
45385000;Выхино-Жулебино
45398000;Гагаринский
45338000;Головинский
45305000;Гольяново
45914000;Даниловский
45339000;Дмитровский
45915000;Донской
45318000;Дорогомилово
45376000;Замоскворечье
45340000;Западное Дегунино
45901000;Зюзино
45916000;Зябликово
45306000;Ивановское
45307000;Измайлово
45386000;Капотня
45902000;Коньково
45341000;Коптево
45308000;Косино-Ухтомский
45903000;Котловка
45378000;Красносельский
45319000;Крылатское
45330000;Крюково
45387000;Кузьминки
45320000;Кунцево
45366000;Куркино
45342000;Левобережный
45388000;Лефортово
45354000;Лианозово
45904000;Ломоносовский
45355000;Лосиноостровский
45389000;Люблино
45356000;Марфино
45357000;Марьина Роща
45390000;Марьино
45331000;Матушкино
45311000;Метрогородок
45379000;Мещанский
45367000;Митино
45321000;Можайский
45343000;Молжаниновский
45917000;Москворечье-Сабурово
45918000;Нагатино-Садовники
45919000;Нагатинский Затон
45920000;Нагорный
45391000;Некрасовка
45392000;Нижегородский
45309000;Новогиреево
45310000;Новокосино
45322000;Ново-Переделкино
45905000;Обручевский
45921000;Орехово-Борисово Северное
45922000;Орехово-Борисово Южное
45358000;Останкинский
45359000;Отрадное
45323000;Очаково-Матвеевское
45312000;Перово
45393000;Печатники
45368000;Покровское-Стрешнево
45316000;Преображенское
45380000;Пресненский
45324000;Проспект Вернадского
45325000;Раменки
45360000;Ростокино
45394000;Рязанский
45344000;Савеловский
45361000;Свиблово
45906000;Северное Бутово
45313000;Северное Измайлово
45362000;Северное Медведково
45369000;Северное Тушино
45363000;Северный
45332000;Силино
45345000;Сокол
45314000;Соколиная Гора
45315000;Сокольники
45326000;Солнцево
45927000;Старое Крюково
45370000;Строгино
45381000;Таганский
45382000;Тверской
45395000;Текстильщики
45907000;Теплый Стан
45346000;Тимирязевский
45327000;Тропарево-Никулино
45328000;Филевский Парк
45329000;Фили-Давыдково
45383000;Хамовники
45347000;Ховрино
45371000;Хорошево-Мневники
45348000;Хорошевский
45923000;Царицыно
45908000;Черемушки
45924000;Чертаново Северное
45925000;Чертаново Центральное
45926000;Чертаново Южное
45372000;Щукино
45909000;Южное Бутово
45364000;Южное Медведково
45373000;Южное Тушино
45396000;Южнопортовый
45384000;Якиманка
45365000;Ярославский
45910000;Ясенево
