1,Консультация ветспециалиста,Терапия,Анамнез,необязательное
1,,,Дата заболевания,необязательное
1,,,Заключительный диагноз,необязательное
1,,,Клинические признаки,необязательное
1,,,Предварительный диагноз,необязательное
1,,,Рекомендации,необязательное
1,,,Симптомы,необязательное
1,,,Схема лечения,необязательное
2,Фиксация животного,Терапия,Анамнез,необязательное
2,,,Дата заболевания,необязательное
2,,,Заключительный диагноз,необязательное
2,,,Клинические признаки,необязательное
2,,,Предварительный диагноз,необязательное
2,,,Рекомендации,необязательное
2,,,Симптомы,необязательное
2,,,Схема лечения,необязательное
3,Первичный клинический осмотр,Терапия,Анамнез,обязательное
3,,,Дата заболевания,обязательное
3,,,Заключительный диагноз,обязательное
3,,,Клинические признаки,обязательное
3,,,Предварительный диагноз,обязательное
3,,,Рекомендации,необязательное
3,,,Симптомы,обязательное
3,,,Схема лечения,обязательное
4,Повторный клинический осмотр,Терапия,Анамнез,необязательное
4,,,Дата заболевания,необязательное
4,,,Заключительный диагноз,обязательное
4,,,Клинические признаки,необязательное
4,,,Предварительный диагноз,необязательное
4,,,Рекомендации,обязательное
4,,,Симптомы,необязательное
4,,,Схема лечения,необязательное
5,"Вакцинация животных с проведением клинического осмотра, консультации, инъекции",Вакцинация,Анамнез,необязательное
5,,,Дата заболевания,необязательное
5,,,Клинические признаки,необязательное
5,,,Рекомендации,необязательное
5,,,Симптомы,необязательное
6,"Введение лекарственных препаратов: внутримышечное, подкожное, внутрикожное, пероральное, глазное капельное, внутривенное через катетер",Терапия,Анамнез,необязательное
6,,,Дата заболевания,необязательное
6,,,Заключительный диагноз,необязательное
6,,,Клинические признаки,необязательное
6,,,Предварительный диагноз,необязательное
6,,,Рекомендации,необязательное
6,,,Симптомы,необязательное
6,,,Схема лечения,необязательное
7,Внутривенное введение лекарственных препаратов,Терапия,Анамнез,необязательное
7,,,Дата заболевания,необязательное
7,,,Заключительный диагноз,необязательное
7,,,Клинические признаки,необязательное
7,,,Предварительный диагноз,необязательное
7,,,Рекомендации,необязательное
7,,,Симптомы,необязательное
7,,,Схема лечения,необязательное
8,Внутривенное капельное введение лекарственных препаратов,Терапия,Анамнез,необязательное
8,,,Дата заболевания,необязательное
8,,,Заключительный диагноз,необязательное
8,,,Клинические признаки,необязательное
8,,,Предварительный диагноз,необязательное
8,,,Рекомендации,необязательное
8,,,Симптомы,необязательное
8,,,Схема лечения,необязательное
9,Внутрисуставное введение лекарственных препаратов,Терапия,Анамнез,необязательное
9,,,Дата заболевания,необязательное
9,,,Заключительный диагноз,необязательное
9,,,Клинические признаки,необязательное
9,,,Предварительный диагноз,необязательное
9,,,Рекомендации,необязательное
9,,,Симптомы,необязательное
9,,,Схема лечения,необязательное
10,Внутрикостное введение лекарственных препаратов,Терапия,Анамнез,необязательное
10,,,Дата заболевания,необязательное
10,,,Заключительный диагноз,необязательное
10,,,Клинические признаки,необязательное
10,,,Предварительный диагноз,необязательное
10,,,Рекомендации,необязательное
10,,,Симптомы,необязательное
10,,,Схема лечения,необязательное
11,"Установка внутривенного катетера - кошки, собаки",Терапия,Анамнез,необязательное
11,,,Дата заболевания,необязательное
11,,,Заключительный диагноз,необязательное
11,,,Клинические признаки,необязательное
11,,,Предварительный диагноз,необязательное
11,,,Рекомендации,необязательное
11,,,Симптомы,необязательное
11,,,Схема лечения,необязательное
12,"Установка внутривенного катетера - декоративные животные (хорьки, норки, морские свинки, лисы и другие животные)",Терапия,Анамнез,необязательное
12,,,Дата заболевания,необязательное
12,,,Заключительный диагноз,необязательное
12,,,Клинические признаки,необязательное
12,,,Предварительный диагноз,необязательное
12,,,Рекомендации,необязательное
12,,,Симптомы,необязательное
12,,,Схема лечения,необязательное
13,Снятие внутривенного катетера,Терапия,Анамнез,необязательное
13,,,Дата заболевания,необязательное
13,,,Заключительный диагноз,необязательное
13,,,Клинические признаки,необязательное
13,,,Предварительный диагноз,необязательное
13,,,Рекомендации,необязательное
13,,,Симптомы,необязательное
13,,,Схема лечения,необязательное
14,Ректальное введение препаратов,Терапия,Анамнез,необязательное
14,,,Дата заболевания,необязательное
14,,,Заключительный диагноз,необязательное
14,,,Клинические признаки,необязательное
14,,,Предварительный диагноз,необязательное
14,,,Рекомендации,необязательное
14,,,Симптомы,необязательное
14,,,Схема лечения,необязательное
15,Расчистка и обрезка копыт с/х животного,Груминг,Анамнез,необязательное
15,,,Дата заболевания,необязательное
15,,,Клинические признаки,необязательное
15,,,Рекомендации,необязательное
15,,,Симптомы,необязательное
16,Обрезка рогов с/х животного,Груминг,Анамнез,необязательное
16,,,Дата заболевания,необязательное
16,,,Клинические признаки,необязательное
16,,,Рекомендации,необязательное
16,,,Симптомы,необязательное
17,Обрезка рогов с/х животного - обезроживание телят,Груминг,Анамнез,необязательное
17,,,Дата заболевания,необязательное
17,,,Клинические признаки,необязательное
17,,,Рекомендации,необязательное
17,,,Симптомы,необязательное
18,Обрезка когтей,Груминг,Анамнез,необязательное
18,,,Дата заболевания,необязательное
18,,,Клинические признаки,необязательное
18,,,Рекомендации,необязательное
18,,,Симптомы,необязательное
19,Обрезка клюва,Груминг,Анамнез,необязательное
19,,,Дата заболевания,необязательное
19,,,Клинические признаки,необязательное
19,,,Рекомендации,необязательное
19,,,Симптомы,необязательное
20,Удаление колтунов,Груминг,Анамнез,необязательное
20,,,Дата заболевания,необязательное
